Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
Cont-Lola-B1_R2_001	fail	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21344862.0	pass	fail	warn	43.0	50.4131173361	Cont-Lola-B1_R2_001.fastq.gz	pass	pass
Cont-Lola-B2_R1_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21671409.0	pass	fail	warn	43.0	42.0764126365	Cont-Lola-B2_R1_001.fastq.gz	pass	pass
Cont-Lola-B2_R2_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21671409.0	pass	fail	warn	44.0	44.7058687757	Cont-Lola-B2_R2_001.fastq.gz	pass	pass
Exp-GP317-A1_R1_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21457399.0	pass	fail	fail	40.0	43.7937677043	Exp-GP317-A1_R1_001.fastq.gz	pass	pass
Exp-GP317-A1_R2_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	21457399.0	pass	fail	warn	41.0	46.4365143617	Exp-GP317-A1_R2_001.fastq.gz	pass	pass
Exp-GP317-A2_R1_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	20470908.0	pass	fail	fail	41.0	44.1211798798	Exp-GP317-A2_R1_001.fastq.gz	pass	pass
Exp-GP317-A2_R2_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	20470908.0	pass	fail	warn	41.0	48.1840433166	Exp-GP317-A2_R2_001.fastq.gz	pass	pass
Exp-GP317-B1_R1_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21111930.0	pass	fail	warn	41.0	45.9351777935	Exp-GP317-B1_R1_001.fastq.gz	pass	pass
Exp-GP317-B1_R2_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21111930.0	pass	fail	warn	41.0	47.7519580754	Exp-GP317-B1_R2_001.fastq.gz	pass	pass
Exp-GP317-B2_R1_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	19522618.0	pass	fail	fail	40.0	35.0784249482	Exp-GP317-B2_R1_001.fastq.gz	pass	pass
Exp-GP317-B2_R2_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	19522618.0	pass	fail	warn	40.0	37.8004704677	Exp-GP317-B2_R2_001.fastq.gz	pass	pass
Exp-Lola-A1_R1_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21088901.0	pass	fail	warn	42.0	46.7783532262	Exp-Lola-A1_R1_001.fastq.gz	pass	pass
Exp-Lola-A1_R2_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21088901.0	pass	fail	warn	42.0	49.0538345009	Exp-Lola-A1_R2_001.fastq.gz	pass	pass
Exp-Lola-A2_R1_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	26928807.0	pass	fail	warn	42.0	44.1256976092	Exp-Lola-A2_R1_001.fastq.gz	pass	pass
Exp-Lola-A2_R2_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	26928807.0	pass	fail	warn	42.0	46.584158139	Exp-Lola-A2_R2_001.fastq.gz	pass	pass
Exp-Lola-B1_R1_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	20570800.0	pass	fail	fail	43.0	44.8226465071	Exp-Lola-B1_R1_001.fastq.gz	pass	pass
Exp-Lola-B1_R2_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	20570800.0	pass	fail	warn	44.0	48.3325160845	Exp-Lola-B1_R2_001.fastq.gz	pass	pass
Exp-Lola-B2_R1_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	22591304.0	pass	fail	warn	42.0	42.6839673684	Exp-Lola-B2_R1_001.fastq.gz	pass	pass
Exp-Lola-B2_R2_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	22591304.0	pass	fail	warn	43.0	45.030119135	Exp-Lola-B2_R2_001.fastq.gz	pass	pass
