Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
Cont-Lola-B1_R1_001_val_1	pass	0.0	fail	135.630244562	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	pass	21123903.0	pass	fail	warn	41.0	49.0000448241	Cont-Lola-B1_R1_001_val_1.fq.gz	pass	pass
Cont-Lola-B1_R2_001_val_2	pass	0.0	warn	135.653768056	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	pass	21123903.0	pass	fail	warn	41.0	50.6966193671	Cont-Lola-B1_R2_001_val_2.fq.gz	pass	pass
Cont-Lola-B2_R1_001_val_1	pass	0.0	fail	136.391146492	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	pass	21439796.0	pass	fail	warn	42.0	43.2510186192	Cont-Lola-B2_R1_001_val_1.fq.gz	pass	pass
Cont-Lola-B2_R2_001_val_2	pass	0.0	fail	136.387941191	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	pass	21439796.0	pass	fail	warn	42.0	45.2691266876	Cont-Lola-B2_R2_001_val_2.fq.gz	pass	pass
Exp-GP317-A1_R1_001_val_1	pass	0.0	fail	135.832969948	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	pass	21091480.0	pass	fail	warn	39.0	45.2935659866	Exp-GP317-A1_R1_001_val_1.fq.gz	pass	pass
Exp-GP317-A1_R2_001_val_2	pass	0.0	fail	135.842091688	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	pass	21091480.0	pass	fail	warn	39.0	46.8140334204	Exp-GP317-A1_R2_001_val_2.fq.gz	pass	pass
Exp-GP317-A2_R1_001_val_1	pass	0.0	fail	135.398871187	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	19899309.0	pass	fail	warn	39.0	46.2216414495	Exp-GP317-A2_R1_001_val_1.fq.gz	pass	pass
Exp-GP317-A2_R2_001_val_2	pass	0.0	fail	135.414111214	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	19899309.0	pass	fail	warn	39.0	47.8125990076	Exp-GP317-A2_R2_001_val_2.fq.gz	pass	pass
Exp-GP317-B1_R1_001_val_1	pass	0.0	fail	135.949853676	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	pass	20992865.0	pass	fail	warn	40.0	46.8710177418	Exp-GP317-B1_R1_001_val_1.fq.gz	pass	pass
Exp-GP317-B1_R2_001_val_2	pass	0.0	fail	135.961378021	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	pass	20992865.0	pass	fail	warn	40.0	48.3688445325	Exp-GP317-B1_R2_001_val_2.fq.gz	pass	pass
Exp-GP317-B2_R1_001_val_1	pass	0.0	fail	134.882235624	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	19141646.0	pass	fail	warn	38.0	36.5805334859	Exp-GP317-B2_R1_001_val_1.fq.gz	pass	pass
Exp-GP317-B2_R2_001_val_2	pass	0.0	fail	134.89297749	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	19141646.0	pass	fail	warn	38.0	38.1567482765	Exp-GP317-B2_R2_001_val_2.fq.gz	pass	pass
Exp-Lola-A1_R1_001_val_1	pass	0.0	fail	135.630344748	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	pass	20883258.0	pass	fail	warn	41.0	47.9452132763	Exp-Lola-A1_R1_001_val_1.fq.gz	pass	pass
Exp-Lola-A1_R2_001_val_2	pass	0.0	fail	135.642476332	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	pass	20883258.0	pass	fail	warn	41.0	49.6217190612	Exp-Lola-A1_R2_001_val_2.fq.gz	pass	pass
Exp-Lola-A2_R1_001_val_1	pass	0.0	fail	135.210798661	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	pass	26659434.0	pass	fail	warn	41.0	45.4040111957	Exp-Lola-A2_R1_001_val_1.fq.gz	pass	pass
Exp-Lola-A2_R2_001_val_2	pass	0.0	fail	135.233275733	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	pass	26659434.0	pass	fail	warn	41.0	47.0676461194	Exp-Lola-A2_R2_001_val_2.fq.gz	pass	pass
Exp-Lola-B1_R1_001_val_1	pass	0.0	fail	135.624484204	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	pass	20063148.0	pass	fail	warn	42.0	46.782680492	Exp-Lola-B1_R1_001_val_1.fq.gz	pass	pass
Exp-Lola-B1_R2_001_val_2	pass	0.0	fail	135.645218338	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	pass	20063148.0	pass	fail	warn	42.0	48.6269797874	Exp-Lola-B1_R2_001_val_2.fq.gz	pass	pass
Exp-Lola-B2_R1_001_val_1	pass	0.0	fail	135.541577082	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	fail	22290297.0	pass	fail	warn	41.0	44.0548764005	Exp-Lola-B2_R1_001_val_1.fq.gz	pass	pass
Exp-Lola-B2_R2_001_val_2	pass	0.0	fail	135.556623494	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	fail	22290297.0	pass	fail	warn	41.0	45.6325030487	Exp-Lola-B2_R2_001_val_2.fq.gz	pass	pass
